transaction_date,unique_transaction_id,item_code,item_sr_no,item_manufacture_date,sale_price,discount_price,store_no,store_name,customer_id,customer_name,city,state,zip
2024-03-22,3001,T001,S001,2024-01-01,500,450,001,Store1,C001,Customer1,City1,State1,12345
2024-03-22,3002,T002,S002,2023-12-15,600,550,002,Store2,C002,Customer2,City2,State2,23456
2024-03-22,3003,T003,S003,2024-02-10,700,650,003,Store3,C003,Customer3,City3,State3,34567
2024-03-22,3004,T004,S004,2024-01-20,800,750,004,Store4,C004,Customer4,City4,State4,45678
2024-03-22,3005,T005,S005,2024-03-05,900,850,005,Store5,C005,Customer5,City5,State5,56789
2024-03-22,3006,T006,S006,2024-02-15,1000,950,006,Store6,C006,Customer6,City6,State6,67890
2024-03-22,3007,T007,S007,2024-03-10,1100,1050,007,Store7,C007,Customer7,City7,State7,78901
2024-03-22,3008,T008,S008,2024-02-20,1200,1150,008,Store8,C008,Customer8,City8,State8,89012
2024-03-22,3009,T009,S009,2024-03-15,1300,1250,009,Store9,C009,Customer9,City9,State9,90123
2024-03-22,3010,T010,S010,2024-02-25,1400,1350,010,Store10,C010,Customer10,City10,State10,01234
